name,url,description,remote_support,adaptive_support,duration
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Entry Level Hotel Front Desk Solution: The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate…,Yes,No,Available
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,MS Word (New): Multi-choice test that measures the ability to use MS Word to record and save textual information.,Yes,No,Available
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,MQ Profile: The profile chart is the Sten score graphical output of the MQ. It clearly shows the individual’s motivational drivers compared to the selected norm group as…,Yes,No,Available
SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,"SHL Verify Interactive – Deductive Reasoning: Measures the ability to draw logical conclusions based on information provided, identify strengths and weaknesses of arguments, and complete scenarios using…",Yes,No,Available
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/sales-transformation-report-individual-contributor/,Sales Transformation 1.0 - Individual Contributor: This report draws insights from the OPQ. It provides an accurate and objective measure of a salesperson’s ability to sell well in a digital first environment…,Yes,No,Available
OPQ Universal Competency Report 2.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,OPQ Universal Competency Report 2.0: This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical…,Yes,No,Available
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,HTML/CSS (New): Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,Yes,No,Available
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,"Geoscience Engineering (New): Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.",Yes,No,Available
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,"Apache Pig (New): Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",Yes,No,Available
Verify Interactive Ability Report,https://www.shl.com/products/product-catalog/view/verify-interactive-ability-report/,Verify Interactive Ability Report: Verify Interactive Ability Report,Yes,No,Available
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,"Aerospace Engineering (New): Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",Yes,No,Available
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,"OPQ Premium Plus Report: This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate…",Yes,No,Available
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,HIPAA (Security): The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to…,Yes,No,Available
SAP Business Objects WebI (New),https://www.shl.com/products/product-catalog/view/sap-business-objects-webi-new/,"SAP Business Objects WebI (New): Multi-choice test that measures the knowledge of SAP interactive analysis, reporting, formatting and scheduling documents.",Yes,No,Available
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,"Apache HBase (New): Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration…",Yes,No,Available
Workplace Administration Skills (New),https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/,"Workplace Administration Skills (New): Multi-choice test that measures the ability to organize one's workplace, properly maintain data, perform simple tasks on the computer and resolve…",Yes,No,Available
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,"ExpressJS (New): Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.",Yes,No,Available
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,"Java 8 (New): Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.",Yes,No,Available
Reading Comprehension - English v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,Reading Comprehension - English v1: The Reading Comprehension - English   assessment provides a general measure of   English reading comprehension. This test is   comprised of items that contain…,Yes,No,Available
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,"Automation Anywhere RPA Development (New): Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere…",Yes,No,Available
RESTful Web Services (New),https://www.shl.com/products/product-catalog/view/restful-web-services-new/,"RESTful Web Services (New): Multi-choice test that measures the knowledge of REST features, architecture, handling requests, producing responses, entity translation, working with return…",Yes,No,Available
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,"OPQ UCF Development Action Planner Report 1.0: This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for…",Yes,No,Available
Verify Interactive G+ Candidate Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/,Verify Interactive G+ Candidate Report: Verify Interactive G+ Candidate Report,Yes,No,Available
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,"Instrumentation Engineering (New): Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.",Yes,No,Available
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new/,"Prism (New): Multi-choice test that measures the knowledge of modules, patterns and other basic concepts of using the Prism library.",Yes,No,Available
Training Development,https://www.shl.com/products/product-catalog/view/training-development/,"Training Development: The Training Development test measures knowledge of developing and delivering training programs. Designed for experienced trainers, this test covers the…",Yes,No,Available
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,"PHP (New): Multi-choice test that measures the knowledge of OOPs & programming constructs, web & database handling and advanced PHP.",Yes,No,Available
OPQ Universal Competency Report 1.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,OPQ Universal Competency Report 1.0: This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical…,Yes,No,Available
Smart Interview Live,https://www.shl.com/products/product-catalog/view/smart-interview-live/,Smart Interview Live: SHL Live Video Interview is a real-time video interview tool. It allows recruiters and line managers to remotely engage with candidates and reach hiring…,Yes,No,Available
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,"Power System Engineering (New): Multi-choice test that measures the knowledge of power generation and transmission, electrical machines, power systems and drives, control and instrumentation…",Yes,No,Available
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new/,Nursing (New): Multi-choice test that measures the knowledge of carrying out various nursing tasks.,Yes,No,Available
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,"General Diseases (New): Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs…",Yes,No,Available
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,"Molecular Biology (New): Multi-choice test that measures the knowledge of molecular genetics, transgenics, rDNA technology, chromosomal genetics, transformation and related processes.",Yes,No,Available
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,"OPQ Team Impact Selection Report: These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics…",Yes,No,Available
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,"Apache Hive (New): Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive…",Yes,No,Available
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,"Core Java (Advanced Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics…",Yes,No,Available
Project Management (2013),https://www.shl.com/products/product-catalog/view/project-management-2013/,Project Management (2013): The Project Management (2013) test measures knowledge of how to manage projects to ensure that objectives are completed on time and within budget. The test is…,Yes,No,Available
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,"English Comprehension (New): Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",Yes,No,Available
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Automata Data Science (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Yes,No,Available
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Entry Level Customer Serv-Retail & Contact Center: The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by…,Yes,No,Available
SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,SHL Verify Interactive – Numerical Reasoning: Assesses how the candidate comprehends numerical information in various formats.,Yes,No,Available
Production and Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,"Production and Industrial Engineering (New): Multi-choice test that measures the knowledge of production technology, quality management, and design and planning of manufacturing systems.",Yes,No,Available
Verify - Numerical Ability,https://www.shl.com/products/product-catalog/view/verify-numerical-ability/,Verify - Numerical Ability: The next-generation Verify Numerical Ability Test provides a replacement for the existing Numerical Reasoning test in our Verify range of ability tests and the…,Yes,Yes,Available
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,Automata Data Science Pro (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Yes,No,Available
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,"Java Platform Enterprise Edition 7 (Java EE 7): The Java Platform Enterprise Edition 7 (Java EE 7) test measures knowledge of the Java EE 7 architecture. Designed for Java programmers and architects, this…",Yes,No,Available
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,"Informatica (Architecture) (New): Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",Yes,No,Available
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,"Apache Kafka (New): Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",Yes,No,Available
Spelling (U.S.) (New),https://www.shl.com/products/product-catalog/view/spelling-u-s-new/,Spelling (U.S.) (New): Multi-choice test that measures the knowledge of correct spellings in English and the ability to identify spelling errors in sentences.,Yes,No,Available
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,AI Skills : The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,Yes,No,Available
Teradata Development (New),https://www.shl.com/products/product-catalog/view/teradata-development-new/,"Teradata Development (New): Multi-choice test that measures the knowledge on Teradata concepts of RDBMS components, performance availability features, utilities, workload management…",Yes,No,Available
Verify - Deductive Reasoning,https://www.shl.com/products/product-catalog/view/verify-deductive-reasoning/,Verify - Deductive Reasoning: The Verify Deductive Reasoning Test is an online ability assessment that can be used to support both pre- and post-hire assessment processes. It enables…,Yes,No,Available
Statistical Analysis System (New),https://www.shl.com/products/product-catalog/view/statistical-analysis-system-new/,Statistical Analysis System (New): Multi-choice test that measures the ability to use the SAS software for statistical analysis.,Yes,No,Available
360 Digital Report,https://www.shl.com/products/product-catalog/view/360-digital-report/,"360 Digital Report: Introducing the new 360 Digital Report from SHL! Our latest offering revolutionizes the reporting experience for our 360 products, catering to the modern…",Yes,No,Available
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,OPQ Team Types & Leadership Styles Profile: This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types…,Yes,No,Available
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,"Node.js (New): Multi-choice test that measures the basic knowledge of Node.js such as events, streams, file system, error handling, concurrency, DB handling and express…",Yes,No,Available
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Accounts Payable Simulation (New): Simulated data entry test that measures the ability to process payables and vendor invoices.,Yes,No,Available
Time Management (U.S.),https://www.shl.com/products/product-catalog/view/time-management-u-s/,Time Management (U.S.): This is an adaptive test that measures the candidate's knowledge of how to use time wisely in the workplace. It is designed for the average business worker and…,Yes,No,Available
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,MFS 360 UCF Performance Potential Dev Tips Report: This report is more or less identical to the standard MFS report but with an additional section that looks at the performance versus the potential and plots…,Yes,No,Available
Verify - Verbal Ability - Next Generation,https://www.shl.com/products/product-catalog/view/verify-verbal-ability-next-generation/,"Verify - Verbal Ability - Next Generation: The Verbal Ability test measures the ability to read written passages and comprehend the text, interpret tone and author intent, identify main ideas, and…",Yes,No,Available
WriteX - Email Writing (Managerial) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-managerial-new/,"WriteX - Email Writing (Managerial) (New): Open response test that evaluates the ability to write proper emails in English. The test provides scores on content, grammar and email etiquette.     Your use…",Yes,No,Available
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,OPQ Candidate Plus Report: A brief narrative OPQ (Occupational Personality Questionnaire) report designed to be given to the individual who completed the OPQ.,Yes,No,Available
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,Automata Selenium: A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,Yes,No,Available
Spring (New),https://www.shl.com/products/product-catalog/view/spring-new/,"Spring (New): Multi-choice test that measures the knowledge of Spring core, AOP, IOC container and transactions.",Yes,No,Available
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,Executive Scenarios Narrative Report: Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,Yes,No,Available
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,"Microsoft PowerPoint 365 - Essentials (New): The Microsoft PowerPoint 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft PowerPoint, and…",Yes,No,Available
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Accounts Receivable (New): Multiple-choice test that measures the knowledge of processing receivables and invoices.,Yes,No,Available
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,OPQ MQ Sales Report: This OPQ (Occupational Personality Questionnaire) report provides a graphical and narrative summary of an individual's natural style that is critical to sales…,Yes,No,Available
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,"Java 2 Platform Enterprise Edition 1.4 Fundamental: The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this…",Yes,No,Available
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,"Automata - Fix (New): A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to…",Yes,No,Available
SHL Verify Interactive G+,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-g/,SHL Verify Interactive G+: SHL Verify Interactive G+ (SVIG+) is a test of general cognitive ability that also generates accurate assessments of three specific abilities: Deductive…,Yes,No,Available
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,Graduate Scenarios Profile Report: Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,Yes,No,Available
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,"Medical Terminology (New): Multi-choice test that measures the knowledge of different medical terms and abbreviations related to the human body, diseases and diagnosis.",Yes,No,Available
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new/,"Paint Technology (New): Multi-choice test that measures the knowledge of paint raw materials and precursors, manufacture of different types of coatings, surface treatment and coating…",Yes,No,Available
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,Sales Transformation 2.0 - Individual Contributor: This report draws insights from the OPQ. It provides an accurate and objective measure of a salesperson’s ability to sell well in a digital first environment…,Yes,No,Available
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,"Housekeeping (New): Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.",Yes,No,Available
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,"Microsoft Excel 365 (New): The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics…",Yes,No,Available
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new/,"Pharmacology (New): Multi-choice test that measures the knowledge of pharmacological drugs classification, chemotherapy, inflammatory disorders, drug action on nervous system…",Yes,No,Available
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,"Geoinformatics Engineering (New): Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and…",Yes,No,Available
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,"Dermatology (New): Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies…",Yes,No,Available
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,"Assessment and Development Center Exercises: SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and…",Yes,No,Available
Oracle PL/SQL (New),https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,"Oracle PL/SQL (New): Multi-choice test that measures the knowledge of SQL queries, relational database concepts and specific Oracle PL/SQL features.",Yes,No,Available
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,"Linux Operating System : Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management.",Yes,No,Available
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,".NET XAML (New): Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",Yes,No,Available
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,"Informatica (Developer) (New): Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",Yes,No,Available
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,"Biochemistry (New): Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and…",Yes,No,Available
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,"Basic Statistics (New): Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical…",Yes,No,Available
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,"Power Electronics and Drives (New): Multi-choice test that measures the knowledge of power semiconductor devices, power electronic converters, drives and control systems.",Yes,No,Available
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,GIT (New): Multi-choice test that measures the knowledge of how to use GIT for version control.,Yes,No,Available
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,"Entry Level Cashier Solution: The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards…",Yes,No,Available
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,"HiPo Unlocking Potential Report 2.0: This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it…",Yes,No,Available
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,".NET WPF (New): Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF…",Yes,No,Available
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,"Job Control Language (New): Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing.",Yes,No,Available
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,"Electrical and Electronics Engineering (New): Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and…",Yes,No,Available
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,"Data Warehousing Concepts: The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and…",Yes,No,Available
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,"Oracle DBA (Advanced Level) (New): Multi-choice test that measures the knowledge of Oracle DB architecture, backup and recovery, MySQL administration and advanced topics such as network…",Yes,No,Available
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,Business Communications: This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at…,Yes,No,Available
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,"Dojo (New): Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.",Yes,No,Available
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,SHL Verify Interactive - Inductive Reasoning: Evaluates ability to identify specific patterns in data or situations and generalize that information to broader contexts.,Yes,No,Available
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,"Electronics and Embedded Systems Engineering (New): Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.",Yes,No,Available
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,"Perl (New): Multi-choice test that measures the knowledge of Perl scripting used for text manipulation, web development, system administration, etc.",Yes,No,Available
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,"Electronics & Telecommunications Engineering (New): Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics…",Yes,No,Available
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,"Economics (New): Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.",Yes,No,Available
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,Contact Center Call Simulation (New): Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and…,Yes,No,Available
ReactJS (New),https://www.shl.com/products/product-catalog/view/reactjs-new/,"ReactJS (New): Multi-choice test that measures the technical knowledge of React APIs, render function, JSX, form validation and styling.",Yes,No,Available
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,"Econometrics (New): Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.",Yes,No,Available
Search Engine Optimization (New),https://www.shl.com/products/product-catalog/view/search-engine-optimization-new/,"Search Engine Optimization (New): Multi-choice test that measures the knowledge on the concepts of need of SEO, SEO planning, SEO strategies, SEO software, tools and exchanging links.",Yes,No,Available
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,"Fire Engineering (New): Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.",Yes,No,Available
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,"Mineral Engineering (New): Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical…",Yes,No,Available
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,"HiPo Assessment Report 2.0: Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps…",Yes,No,Available
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,Executive Scenarios: Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,Yes,No,Available
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,Graduate Scenarios: Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is…,Yes,No,Available
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,"Financial Accounting (New): Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate…",Yes,No,Available
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Data Entry Alphanumeric Split Screen - US: The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes…,Yes,No,Available
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,"Petrochemical Engineering (New): Multi-choice test that measures the knowledge of fluid and thermal principles of petrochemical engineering, chemical processes, petroleum composition and…",Yes,No,Available
Universal Competency Framework Profiler Cards (44),https://www.shl.com/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,"Universal Competency Framework Profiler Cards (44): The UCF sets out the key behaviours that drive performance using a standard, proven hierarchy that can be applied to virtually any job at any level, in any…",Yes,No,Available
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs…,Yes,No,Available
Programming Concepts,https://www.shl.com/products/product-catalog/view/programming-concepts/,Programming Concepts: The Programming Concepts test measures knowledge of the core aspects of computer science programming that is valid across programming languages. Designed for…,Yes,No,Available
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,Entry Level Customer Service (General) Solution: The Precise Fit Entry Level Customer Service Solution (General) is for a wide range of entry-level positions where employees are expected to interact with…,Yes,No,Available
Verify - Following Instructions,https://www.shl.com/products/product-catalog/view/verify-following-instructions/,Verify - Following Instructions: This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of…,Yes,No,Available
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,"ASP.NET 4.5: The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role…",Yes,No,Available
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,"Adobe Photoshop CC: The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File…",Yes,No,Available
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,"Chemical Engineering (New): Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles…",Yes,No,Available
SQL (New),https://www.shl.com/products/product-catalog/view/sql-new/,"SQL (New): Multi-choice test that measures the knowledge of SQL queries, data manipulation and transaction processing.",Yes,No,Available
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,"Computer Science (New): Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",Yes,No,Available
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,"COBOL Programming (New): Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",Yes,No,Available
